emne_id;emne_navn;emne_navn_eng;studiepoeng;emne_utbytte;emne_innhold;faculty_code;contains_description
PED973;Veiledningspedagogikk - fokus individnivå;Mentoring and tutoring, individual level focus;10;['Kunnskapsmål', 'Etter endt emne', '- har studenten avanserte kunnskaper om veiledning', 'Ferdighetsmål', 'Etter endt emne', '- har studenten avanserte ferdigheter i veiledning på individnivå', 'Generell kompetanse', 'Etter endt emne', '-har studenten utviklet relasjons-kompetanse til å møte mennesker i veiledningssituasjoner'];['Studenten skal i emnet fokusere på veiledning på individnivå.', 'Sentrale temaer:', '- Veiledningsbegrepet og veiledningstradisjoner.', '- Grunnleggende kommunikasjon', '- Ulike veiledningstilnærminger med prinsipper og metoder', '- Praksisveiledning og praktisk yrkesteori', '- Didaktisk relasjonstenkning', '- Reflekterende prosesser', '- Bruk av video i veiledning'];HI;True
PED973D;Veiledningspedagogikk - fokus individnivå;Mentoring and tutoring, individual level focus;10;['Kunnskapsmål', 'Etter endt emne har studenten', '- grunnleggende kunnskaper om veiledning', '', 'Ferdighetsmål', 'Etter endt utdanning har studenten', '- grunnleggende ferdigheter i veiledning på individnivå', '', 'Generell kompetanse', 'Etter endt utdanning har studenten', '- utviklet relasjons-kompetanse til å møte mennesker i veiledningssituasjoner'];['Studenten skal i emnet fokusere på veiledning på individnivå.', 'Sentrale temaer:', '- Veiledningsbegrepet og veiledningstradisjoner.', '- Grunnleggende kommunikasjon', '- Ulike veiledningstilnærminger med prinsipper og metoder', '- Praksisveiledning og praktisk yrkesteori', '- Didaktisk relasjonstenkning', '- Reflekterende prosesser', '- Bruk av video i veiledning'];HI;True
PED974;Veiledningspedagogikk - fokus individ- og gruppenivå;Veiledningspedagogikk - fokus individ- og gruppenivå;10;['Kunnskapsmål', 'Etter endt emne', '- har studenten avanserte kunnskaper om veiledningstilnærminger og deres vitenskapsteoretiske grunnsyn', 'Ferdighetsmål', 'Etter endt emne', '- har studenten avanserte ferdigheter i veiledning på individnivå og gruppenivå', 'Generell kompetanse', 'Etter endt emne', '- har studenten avansert relasjons-kompetanse til å møte mennesker i veiledningssituasjoner på individ og gruppenivå'];['Studenten skal i emnet fokusere på veiledning på individnivå og gruppenivå', 'Sentrale temaer:', '- Vitenskapelig grunnsyn', '- Veiledning i grupper', '- Utvidelse av veiledningstilnærminger', '- Metodeutvidelse', '- Veiledningspraksis'];HI;True
PED975;Veiledningspedagogikk - fokus individ- og gruppenivå II;Veiledningspedagogikk - fokus individ- og gruppenivå II;10;['Kunnskaper', 'Etter endt emne', '- har studenten avanserte kunnskaper om veiledningstilnærminger', '- har studenten avanserte kunnskaper om kommunikasjons- og samspillprosesser i grupper', '- kan studenten analysere og begrunne egen veiledningspraksis', 'Ferdigheter', 'Etter endt emne', '- har studenten avanserte ferdigheter i veiledning på individnivå og gruppenivå', '- anvender studenten ulike ferdigheter tilpasset forskjellige former for veiledning', 'Generell kompetanse', 'Etter endt emne', '- har studenten avansert relasjons-kompetanse til å møte mennesker i veiledningssituasjoner på individ og gruppenivå', '- er studenten bevisst egne verdier og holdningers betydning i veiledningsrelasjoner', '- tar studenten aktivt ansvar for faglig og personlig vekst for å kunne foreta forsvarlige etiske vurderinger i veiledningsarbeid'];[];HI;False
PSY424;Psykososial helse;Psychosocial health;5;['Studenten:', 'Kunnskap', ['har kunnskap om hvordan psykososial helse og psykososiale helseproblemer kan forstås ut ifra ulike perspektiver, herunder historiske, biologiske, psykologiske, sosiale, eksistensielle og kulturelle perspektiv', 'har kunnskap om betydningen av menneskelig mangfold, kjønn, alder, sosiokulturell kontekst og levekår, herunder økonomi, arbeid, boforhold og sosial deltakelse for psykososial helse', 'har kunnskap om hvordan ulike perspektiver får betydning på individ-, gruppe- og samfunnsnivå og hvordan disse kan hemme eller fremme psykososial helse'], 'Ferdigheter', ['kan analysere og forholde seg kritisk til ulike perspektiver på psykososial helse relatert til praksis', 'kan analysere samspillet mellom menneskelig mangfold, kjønn, alder og sosiokulturell kontekst, herunder minoritetskulturer, og problemer knyttet til psykososial helse og anvende kunnskapen for å drøfte mulige tilnærminger for å bedre psykososial helse'], '', '', '', ''];['Emnet gir en oversikt over ulike perspektiver på hvordan annerkjennelse eller krenkelse har betydning for menneskers liv innen en rekke områder, for eksempel psykisk helse, rus, avhengighet, vanskelige emosjonelle opplevelser, funksjon, barn og unges utvikling, ulike mestringsstrategier, familie, seksualitet osv. Menneskerettigheter og etiske vurderinger blir sentralt i tilnærmingen til psykososiale helseproblem. Videre vil emnet gi kunnskap om menneskelig mangfold og belyse hvordan inkluderende prosesser gir bærekraftige samfunn. Arbeid med psykososial helse handler også om å kunne påpeke og søke å endre forhold i samfunnet som skaper uhelse, bidrar til sosial utstøting og ekskludering.', ''];HI;True
PSY427;Introduksjon til miljøterapeutisk arbeid og fagledelse ;Introduction to milieu therapy and professional leadership;10;['Etter fullført emne skal studenten', 'Kunnskap', ['Ha avansert kunnskap om fagledelse som utgangspunkt for miljøterapeutisk arbeid', 'Ha kunnskap om ulike forskningstradisjoner og vitenskapsteoretiske ståsteder innen miljøterapeutisk arbeid', 'Ha kunnskap om ulike miljøterapeutiske arbeidsmåter og intervensjoner', 'Ha inngående kunnskap om brukerrettigheter, samtykke og selvbestemmelse som premiss for miljøterapeutisk arbeid', 'Ha kunnskap om organisering og organisasjoner innen helse- og velferdssystemet', 'Ha inngående kunnskap om implementering av miljøterapeutiske tiltak, metoder og forståelsesrammer', 'Ha kunnskap om hvilket lovverk som regulerer tjenestene og dermed legger premisser for det miljøterapeutiske arbeidet i organisasjonen'], 'Ferdigheter', ['Kunne bruke ulike fagtradisjoners former for problemløsning, dokumentasjon og evaluering', 'Kunne planlegge for implementering av miljøterapeutisk arbeid', 'Kunne identifisere opplæringsbehov og planlegge for opplæring og veiledning av personalet', 'Kunne anvende kunnskap om lover og regelverk, nasjonale veiledere og faglige retningslinjer i miljøterapeutisk arbeid', 'Kunne analysere og forstå organisasjonshierarki, roller, ansvar og myndighet som faktorer i miljøterapeutisk arbeid', 'Kunne analysere behovet for og planlegge beslutningsstøtte og muligheter for selvbestemmelse', 'Kunne vise forståelse for organisasjonskulturelle og individuelle aspekter som forutsetninger for fagledelse i miljøterapeutiske arbeid'], 'Generell kompetanse', ['Kunne analysere fag-, yrkes- og forskningsetiske problemstillinger som aktualiseres i miljøterapeutisk arbeid', 'Kunne kommunisere miljøterapeutiske beslutninger og prioriteringer', 'Kunne anvende ulike miljøterapeutiske intervensjoner på nye måter for å løse komplekse problemstillinger i praksis', 'Kunne bidra til nytenking og innovasjon i miljøterapeutiske arbeidsprosesser innen eget arbeidsfelt']];['Miljøterapeutisk arbeid kommer i mange varianter og har ulike historiske tradisjoner og vitenskapsteoretiske forankringer. Forståelsen av dette mangfoldet er viktig – ikke for å skille mellom retningene, men for å kunne la dem inngå som elementer i komplekse kontekster. Et helhetlig syn på mennesket i det miljøterapeutiske feltet krever mangfold av retninger for å sikre at personen får ivaretatt sine ønsker, behov og utnyttet sine mestringsmuligheter. Det miljøterapeutiske arbeidet foregår også i en større kontekst. Arbeidet inngår i en organisasjon eller enhet i en formell struktur med en spesifikk kultur. Dermed må det miljøterapeutiske arbeidet implementeres i organisasjonen og i personalgruppen gjennom opplæring basert på forståelse av enhetens egenart. I tillegg vil all virksomhet rammes inn av juridiske bestemmelser og offentlige føringer. For å kunne planlegge miljøterapeutisk arbeid må denne rammen forstås på en slik måte at personen vet hvordan endringsarbeid på individnivået er avhengig av nivåene i systemet.', '', 'Temaer i emnet:', ['Miljøterapeutisk arbeid: Ulike tradisjoner og varianter', 'Vitenskapsteori', 'Forskningstradisjoner', 'Fagledelse', 'Personalopplæring', 'Implementering', 'Veiledning', 'Ansvarsforhold', 'Organisasjonsstruktur og miljøterapeutisk arbeid', 'Lovverk, veiledere og nasjonale retningslinjer'], ''];HI;True
PSY431;Etikk, lovverk og organisering;Ethics, law and organization;10;['Studenten:', 'Kunnskap', ['har avansert kunnskap om etikk, sentrale verdier og etiske problemstillinger', 'har inngående kunnskap om menneskerettigheter, relevant lovverk, politiske føringer, nasjonale faglige retningslinjer, organisering og tjenesteutvikling og administrative virkemidler som legger premisser for psykisk helse-, rus- og avhengighetsarbeid', 'har kunnskap om tverrprofesjonelt, tverretatlig og tverrsektorielt samarbeid', 'har kunnskap om behov og rettigheter til pårørende og etterlatte, herunder barn som pårørende og etterlatte, samt om relevante helse-, omsorgs- og velferdstilbud til pårørende og etterlatte'], 'Ferdigheter', ['kan selvstendig identifisere og analysere juridiske og etiske problemstillinger knyttet til arbeid med psykisk helse-, rusmiddel- og avhengighetsproblemer', 'kan anvende rettskilder for å sikre rettigheter og likeverdige tjenester', 'kan analysere og reflektere kritisk over hjelpeapparatets rolle og organisering, herunder dets makt, myndighetsutøvelse og risiko for maktmisbruk'], 'Generell kompetanse', ['kan anvende tilegnete kunnskaper til å reflektere over koordinering av tjenester og tverrfaglig samarbeid']];['Emnet gir avansert kunnskap om menneskerettigheter, etikk og lovverk innen psykisk helse-, rus- og avhengighetsarbeid. Emnet gir også inngående kjennskap til hjelpeapparatenes organisering og hvordan tjenester koordineres. I tillegg blir tverrfaglig samarbeid tematisert og problematisert.'];HI;True
PSY433;Arbeid med psykisk helse-, rusmiddel- og avhengighetsproblemer;Work with mental health -, substance use – and addiction related problems;15;['Studenten:', 'Kunnskap', ['har inngående kunnskap om betydningen av selvhjelp, likepersonsarbeid og frivillig arbeid', 'har inngående kunnskap om brukermedvirkning på individ-, tjeneste- og systemnivå', 'har innsikt i kunnskapsbaserte metoder og arbeidsmåter på individ-, gruppe- og samfunnsnivå for å forebygge, kartlegge og redusere problemutvikling, og for å fremme bedring, gode hverdagsliv og sosial deltakelse', 'har avansert kunnskap om hvordan bedring, gode hverdagsliv og sosial deltakelse kan skapes gjennom dialog og samarbeid', 'har avansert kunnskap om faglig kvalitet og forsvarlighet i kartlegging, utredning, behandling og oppfølging, samt andre former for faglige praksiser', 'har kunnskap om vilkårene for fag- og utviklingsarbeid innen både psykisk helse-, rus- og avhengighetsarbeid'], 'Ferdigheter', ['kan reflektere rundt hvordan styrke autonomi og medvirkning, også i situasjoner som medfører gjennomføring av inngripende tiltak', 'kan analysere og kritisk reflektere over hvordan egne holdninger, verdier og væremåter kan innvirke på arbeid med den det gjelder, deres familie og nettverk og samarbeidspartnere', 'kan bruke relevant kunnskap til å fremme brukermedvirkning på individ- og systemnivå', 'kan forholde seg kritisk til ulike kunnskapsbaserte arbeidsmåter på individ-, gruppe- og samfunnsnivå og anvende disse for å fremme bedring, gode hverdagsliv og sosial deltakelse', 'kan kritisk vurdere kvalitet på ulike kunnskapskilder og deres relevans for praksis', 'kan gjennomføre og evaluere fagutviklingsprosjekter med utgangspunkt i forskningsbasert, praksisbasert og erfaringsbasert kunnskap'], 'Generell kompetanse', ['kan analysere og reflektere kritisk over ulike arbeidsmåter og anvende disse innen psykisk helse-, rus- og avhengighetsfeltet', 'kan formidle faglige problemstillinger, analyser og konklusjoner i psykisk helse-, rus- og avhengighetsarbeid', 'kan bidra til nytenkning og fagutvikling innen sitt fagområde']];['Emnet gir kompetanse i ulike former for kunnskapsbasert praksis på individ-, gruppe- og', 'samfunnsnivå, og hvordan disse anvendes innen psykisk helse-, rus- og avhengighetsfeltet i tjenestene. Videre gir emnet inngående kunnskap om brukermedvirkning på individ-, tjeneste- og systemnivå. Emnet gir også kompetanse i forskningsbasert praksisutvikling og utarbeidelse av prosjektrapport.', ''];HI;True
PSY902;Familieterapi - vitenskapsfilosofi, teorier og metoder;Family therapy - philosophy, theories and methods;20;['Studenten:', ['har inngående kunnskaper om den historiske utviklingen innen familieterapi feltet og presentere ulike ideer om problemforståelse, behandling og endring.', 'har avansert kjennskap til de grunnleggende faktorene i enhver terapi, uansett retning respekt, empati, bekreftelse og oppriktighet overfor klientene.', 'har inngående kunnskap om aktuelle teorier, begreper og metoder i familieterapi', 'kunne anvende kunnskap i systematisk, kritisk og etisk refleksjon i praksis', 'har kunnskaper om å sette teorier i familieterapi inn i en større vitenskapsfilosofisk sammenheng.']];['Dette emnet fokuserer på familieterapiens historiske utvikling og plassering innen det vitenskapsfilosofiske og erkjennelsesteoretiske feltet. Emnet gir innføring i familieterapeutiske tilnærminger og metoder.', 'Sentrale tema:', ['Historisk gjennomgang av familieterapiens utvikling og av ulike retninger.', 'Gjennomgang av aktuelle ideer og dilemmaer innen vitenskapsfilosofi og erkjennelsesteori.', 'Helhetstenking og systemtenking: Kybernetikk, konstruktivisme og sosialkonstruksjonisme.', 'Presentasjon av grunnleggende ideer fra familieterapi.', 'Verdimessige premisser og etiske perspektiver i familieterapi.', 'Innføring i aktuelle teorier, begreper og metoder i familieterapi', 'Arbeide med egen familiehistorie og egen terapeutisk holdning']];HI;True
PSY903;Familieterapi - etikk og praksis;Family therapy - culture and ethics;20;['Studenten:', ['har avansert kunnskap om hvordan familier og individer lever i dagens samfunn, og om deres sentrale problemer og utfordringer.', 'har handlingskompetanse til å bruke ideer og tilnærminger som er presentert i utdanningen i møte med familier med ulike typer problemer.', 'kan etablere et samarbeidende klient/terapeutforhold og i å avklare hensiktsmessige mål for behandlingen.', 'har avanserte kunnskaper om å anvende systemiske, narrative og språkbaserte tilnærminger i samarbeid med andre instanser og i nettverksarbeid.', 'har kunnskaper om forskningsmetoder og kan anvende dette i prosjektarbeid', 'har inngående evne til å analysere etiske problemstillinger fra praksis']];['Emnet fokuserer på anvendelse av familieterapeutiske metoder i møte med familier med ulike problemer. Videre legges det vekt på skriftlig formidling av egen forståelse, egne ideer, problemstillinger og erfaringer.', 'Sentrale temaer:', ['Familien i dagens samfunn - sosialt, psykologisk og juridisk.', 'Skilsmisse og gjengifte', 'Familier i høykonflikt', 'Parterapi og seksualitet', 'Kjønnsproblematikk.', 'Flerkulturelle familier.', 'Terapeutiske tilnærminger i forhold til familier med ulike problemer som for eksempel:', 'Omsorgssvikt, rusproblematikk, seksuelt misbruk og vold', 'Metoder for datainnsamling, og analyse og tolking av data']];HI;True
PSY904;Praktiske studier i familieterapi;Clinical studies - family therapy;20;['Studenten:', ['har utviklet familieterapeutiske holdninger og avanserte terapeutiske ferdigheter', 'kan anvende familieterapeutiske teorier i praksis', 'har utviklet sin personlige og terapeutiske arbeidsmåte ut fra klinisk veiledning og med vekt på egen styrke og kompetanse', 'kan reflektere omkring egen terapeutisk praksis']];['Sentrale tema:', ['Praktisering av kliniske intervjuteknikker.', 'Utprøving av roller som intervjuer, observatør og intervjuobjekt.', 'Rollespill av arbeid med klienter og med ulike terapeutiske tilnærminger.', 'Presentasjon av kliniske videoer som viser aktuelle terapeutiske metoder.', 'Arbeid med studentenes klinisk videoer sett i forhold til teori, metodisk tilnærming og etiske spørsmål.']];HI;True
PSY905;Kompetanse og tjenesteutvikling;Competence and Practice Development;15;['Etter endt emne skal studenten ha:', ['Kunnskaper og ferdigheter i å systematisere og formidle erfaringsbasert kunnskap i psykososialt arbeid med barn, unge og familier på en vitenskapelig anerkjent måte', 'Kunnskaper og ferdigheter i å initiere og drive utviklingsarbeid på eget arbeidssted', 'Innsikt og forståelse for feltets kunnskapsgrunnlag', 'Kunnskaper om og ferdigheter i systematisk, kritisk og etisk refleksjon i praksis'], ''];['Dette hovedemnet fokuserer på utvikling av kunnskap, tjenestetilbud og fagpersonlig kompetanse. Oppmerksomheten rettes mot utvikling av kunnskaper og holdninger i praksis og forholdet mellom disse. Emnet knyttes tett opp til konkrete utviklingsprosjekter på arbeidsplassen og til en individuell refleksjon over egen praksis. Emnet strekker seg gjennom tre semester.', 'Sentrale tema:', ['Kunnskapsdannelse i praksis - praktikerforskning og utvikling og forståelse av praktisk kunnskap', 'Utviklingsarbeid i tjenesteutøvelse og lærende organisasjoner', 'Forståelse av og perspektiver på kunnskapens verdi- og teorigrunnlag', 'Kvalitet og faglighet i tjenesteutøvelsen - innføring i diskusjonen om evidensbasert praksis (EBP)', 'Kritisk og etisk refleksjoner i og over praksis - om tatt-for-gitt-kunnskap og tradisjonsbundne praksiser', 'Utvikling av personlige kompetanser og moralsk forsvarlig praksis', 'Etiske utfordringer og konfliktområder i praksis - om makt, hjelp og krenkelser i psykososialt arbeid med barn og ungdom'], ''];HI;True
PSY914;Psykisk helse hos barn og ungdom ll;Child and Adolescent Mental Health 2;10;['Studentene har etter endt emne:', ['kompetanse til å initiere, utforme og delta i hjelpetiltak som er forankret i barn og unges behov, ønsker og forståelser av egen situasjon', 'kompetanse til å systematisere, dokumentere og formidle egen og andres erfaringskunnskap', 'innsikt i forskning, evaluering og kvalitetssikring av psykisk helsearbeid med særlig fokus på de utfordringer som et relasjonsfokus innebærer', 'kunnskap om psykiske problemer i et relasjonelt perspektiv', 'Kunnskap om intersubjektivitet og relasjonskompetanse - om empati, omsorg og anerkjennelse']];[['Når livet blir vanskelig - erfaringer fra barn, ungdom og familier i sorg og krise', 'Ulike risikofaktorer for utvikling av psykososiale problemer - om barn av psykisk syke foreldre, barn som lever i familier med vold/familier med rusproblemer, skilsmisser, ensomhet og mobbing, fysisk og psykisk vanskjøtsel og mishandling, krigsopplevelser og traumer, religiøs fundamentalisme', 'Barn og ungdoms psykiske helse - historiske utviklingslinjer, nåtidige problemstillinger og framtidige utfordringer', 'Samvær, samspill og dialog gjennom refleksjon og reflekterende samtaler/team', 'Om makt, hjelp og krenkelser i terapeutiske relasjoner', 'Utvikling av personlig kommunikativ kompetanse']];HI;True
PSY915;Organisering og samhandling;Organisation and Interaction;10;['Studentene har etter endt emne:', ['utviklet en historiekritisk forståelse for etableringen og utviklingen av tjenestetilbud overfor barn, ungdom og voksne', 'avansert kunnskap i hvordan tjenestetilbudet er oppbygd og organisert i dag, og hvilke planer, politiske føringer og vedtak som foreligger på området lokalt, regionalt og nasjonalt', 'kunnskaper om lover, forskrifter og andre samfunnsbestemte forhold som regulerer og styrer psykisk helsearbeid overfor barn, ungdom og voksne i ulike deler av tjenestene']];['Dette hovedemnet fokuserer på tverrfaglig og tverretatlig samarbeid, og retter søkelys mot organisering av tjenestetilbudene til barn, ungdom og voksne. Emnet gir både kunnskap om dette, og sikter mot å etablere, videreføre og forsterke konkrete samarbeidsstrukturer i tjenestetilbudene.', ['Overordnede konvensjoner, og gjeldende lover og forskrifter', 'Tvangshjemler og tvangsbruk i velferdsretten', 'Individuell plan - prinsipper for brukerstyrte tjenester', 'Kvalitetssikring og internkontroll', 'Helse- og sosialpolitiske føringer i feltet - statlige meldinger, strategiplaner og veiledere', 'Organiseringen av lokale, regionale og nasjonale tjenestetilbud - fra profesjonsstyrte til brukerstyrte tjenester', 'Frivillige, selvhjelps- og brukerstyrte tiltak', 'Utvikling av helhetlige, koordinerte tjenester- tiltaksoversikt og tiltaksorientering i praksis', 'Forvaltning av taushetsplikt i praksis - et vern og et hinder?', 'Tverrfaglig og tverretatlig samarbeid - om samarbeid og ansvarsdeling både i og mellom tjenester på ulike forvaltningsnivå', 'Samarbeidskunnskap - om ulike faggruppers kunnskaper og ansvarsområder', 'Kommunikasjon, konflikthåndtering og meklingstradisjoner']];HI;True
PSY918;Samhandling mellom dyr og mennesker i dyreassisterte intervensjoner;Samhandling mellom dyr og mennesker i dyreassisterte intervensjoner;5;['Etter gjennomført kurs skal studentene:', ['Kunne redegjøre for sentrale begrep og teorier innen fagfeltet dyreassisterte intervensjoner.', 'Kjenne til aktuell litteratur og forskning innen fagfeltet, herigjennom dokumenterte effekter av samhandling mellom dyr og mennesker.', 'Ha kunnskap om aktuelle arenaer der dyreassisterte intervensjoner kan anvendes', 'Ha kunnskap og forståelse for ivaretagelse av dyrevelferd i samhandlingen']];[['Historisk perspektiv på samhandling mellom dyr og mennesker', 'Utvikling av fagfeltet dyreassisterte intervensjoner, begrepsavklaring og teoretisk forankring', 'Ulike former for dyreassisterte intervensjoner (nasjonalt og internasjonalt)', 'Effekter av dyreassisterte intervensjoner i forhold til ulike brukergrupper', 'Dyrets egnethet og dyrevelferd', 'Brukeres fokus i samhandling med dyr', 'Etiske utfordringer ved dyreassisterte intervensjoner']];HI;True
PSY919;Utfordrende atferd og målretta miljøarbeid;Utfordrende atferd og målretta miljøarbeid;5;['Etter avsluttet emne skal studenten:', ['ha kunnskap om og ferdigheter i avgrensning og forebygging av utfordrende atferd', 'ha ferdigheter i å kartlegge omfang av utfordrende atferd', 'ha ferdigheter i å gjennomføre funksjonelle analyser', 'ha kunnskap om ulike måter å gjennomføre funksjonelle analyser', 'kunne gjengi intervensjoner, behandlingsformer, tiltak og samhandlingsformer som er aktuelle ved problematferd', 'kunne planlegge gjennomføringen og evaluering av tiltak/endring i samhandlingsform', 'kunne dokumentere effekten av tiltak / endring av samhandlingsform'], 'kunne identifisere etiske utfordringer i alle ledd i håndteringsprosessen av utfordrende personer'];['Mennesker med adferd som oppleves utfordrende og problematiske vil helse- og sosialpersonell treffe på mange arenaer i samfunnet. Hos barn i barnehage og skole, i arbeid med personer med utviklingshemming, hos eldre med demens, innen rus og psykisk helsearbeid osv. Målretta miljøarbeid er en paraply av tilnærmingsmåter som benytter positive strategier for å møte håndtere utfordrende situasjoner, og vil være hovedinnholdet i kurset. Utgangspunktet er å forstå utfordrende atferd ut fra sin funksjon. Dette gjøres gjennom en analyse av de foranledninger og de konsekvenser atferden har (FAK-analyse). Analysen danner grunnlag for tiltak, intervensjoner, behandlings- og samhandlingsformer som tar utgangspunkt i nettopp de miljømessige årsakene til den utfordrende atferden. Det legges vekt på systematikk, dokumentasjon og etisk refleksjon i alle ledd i prosessen.'];HI;True
PSY921;Recovery og samarbeid i sosiale nettverk;Recovery and Co-operation in Social Networks;10;['Studenten:', ['har avansert kunnskap om viktige helsepolitiske føringer og ambisjoner innen helse- og sosialtjenestene generelt og om recovery perspektivers plass i disse føringer og ambisjoner spesielt', 'har inngående kunnskaper om sentrale begreper og kunnskapskilder innen recovery', 'har inngående kunnskaper om betydningen av dialog og sosiale faktorer for bedringsprosesser og livskvalitet', 'har bred oversikt over ulike kunnskapsformer og arbeidsformer som inngår i en profesjonell praksis som støtter menneskers egne bedringsprosesser i deres sosiale sammenhenger', 'har avansert kunnskap om ulike faktorer som kan bidra til menneskers bedringsprosesser og livskvalitet (som materielle/økonomiske forhold, egen innsats, personer i nettverk, profesjonelles betydning osv.)', 'har innsikt i betydningen av etisk handling i praksis og holdninger og verdiers betydning i hjelpepraksis', 'kan utøve en praksis som anerkjenner og støtter menneskers egne ressurser og innsatser i deres bedringsprosesser og for å skape livskvalitet', 'kan utøve en praksis som anerkjenner og støtter de ressurser og innsatser som finnes i det sosiale nettverk den enkelte lever i', 'kan legge til rette for samarbeid mellom personer i nettverket med hensikt å skape bedring og livskvalitet for den enkelte', 'kan identifiserer og kritisk reflektere over holdninger og verdier hos dem selv og hvordan de virker inn på samarbeidet med tjenestemottaker', 'kan identifisere og kritisk reflektere over væremåter og handlingsmønster hos dem selv som virker inn på samarbeid med tjenestemottaker']];['Emnet gir en bred oversikt over og innsikt i recovery-perspektivet innenfor helse- og sosialfagene der utfordringer av både etisk, kunnskapsmessig og samfunnsmessig karakter utdypes. Emnet behandler sentrale begreper og perspektiver innen recovery og disse blir sett i lys av ulike perspektiver innen helse og sosialfag. Det blir fokusert på betydningen av å se bedringsprosesser og livskvalitet som resultat av personers egne innsatser, innsatser fra privat nettverk og fra profesjonelle hjelpere. Emnet gir innføring i betydningen av samarbeid, dialog og sosiale relasjoner. Videre vektlegges materielle samfunnsmessige betingelser som bolig, økonomi, skole, arbeid og hva dette betyr for bedringsprosesser og livskvalitet. Emnet gir videre en innføring i praktiske arbeidsformer som er recovery- og samarbeidsorienterte. Emnet vil fokusere på tverrfaglige arbeidsformer der brukere og deres private nettverk involveres.', 'Kunnskap og erfaringer fra både brukere, fagfolk og forskere blir presentert og diskutert opp mot aktuelle helsepolitiske føringer.', 'Emnet involverer studentene i ferdighetstrening i recovery-støttende praksis basert på dialog og samarbeid.'];HI;True
PSY922;Mestringskurs for engstelige barn og ungdom;Mestringskurs for engstelige barn og ungdom;15;['Etter endt studie skal studenten:', '', ['ha inngående kunnskap om kognitive atferdsterapeutiske prinsipper for håndtering av engstelige barn og unge', 'ha kunnskap om lav-terskel og høy-intensive intervensjoner for angstlidelse/engstelighet', 'ha kunnskap om den kognitive forståelsen og opprettholdelse av panikklidelse og sosial angst.', 'ha kunnskap om uhensiktsmessige måter foreldre involverer seg på', 'ha kunnskap om ulike former for lærerinvolvering ved behandling av engstelighet', 'ha inngående kunnskap om bruk av hjemmeoppgaver', 'ha kunnskap om utvikling av terapeutisk relasjon', 'Ha kunnskap om forebygging av angst hos barn og unge'], '', ['kunne selvstendig planlegge, gjennomføre og evaluere mestringskurs for angst.', 'kunne gjennomføre spesifikke eksponeringsøvelser og atferds-eksperimenter som er tilpasset den enkelte angstlidelse sosial angst, panikklidelse, agorafobi, spesifikk fobi, generalisert angstlidelse og separasjonsangst', 'kunne gjennomføre eksponeringsøvelser der foreldre og ungdom trener sammen.', 'Kunne samarbeide med skolen om gjennomføring av hjemmeoppgaver', 'kunne kartlegge og analysere ulike former for angstsymptomer', 'kunne gjenkjenne vanlige tankefeller/uhensiktsmessige fortolkninger ved angstlidelser', 'kunne utforme angsthierarki', 'kunne selvstendig anvende vanlige kartleggingsskjema ved engstelse'], 'kunne identifisere unngåelsesatferd og sikkerhetsatferd ved ulike typer angstlidelser', '', ['ha grunnleggende ferdigheter i kognitive prinsipper for mestring av angst.', 'kunne strukturere samtaler ut fra en agenda som lages', 'kunne forklare rasjonale i kognitive mestringskurs for angstlidelser', 'kunne foreta en avveiing mellom faglige, praktiske og etiske argumenter for valg av intervensjon', 'kunne håndtere samarbeidsproblemer']];['Studiet gir en innføring i grunnleggende prinsipper i kognitiv atferdsterapi ved angstlidelse for barn og ungdom over 10 år. Det vil bli gitt opplæring i hvordan en konkret kan anvende disse prinsippene i praksis tilpasset ulike former for angst. Hovedfokus i studiet er opplæring i hvordan drive gruppebaserte mestringskurs for barn og unge med angst.'];HI;True
PSY927;Sped- og småbarns psykiske helse - tidlig forebygging og kartlegging;Sped- og småbarns psykiske helse - tidlig forebygging og kartlegging;15;['Etter fullført emne skal studenten:', '', ['ha inngående kunnskap om risikofaktorer og beskyttelsesfaktorer av betydning for sped- og småbarns psykiske helse', 'ha kunnskap om ulik sårbarhet hos barnet, som utviklingsforstyrrelser, reguleringsvansker og biomedisinske risikotilstander', 'ha kunnskap om samspill og omsorg når foreldrene har egne problemer (f.eks. rus, psykiatri)'], '', ['kunne bruke relevante kartleggingsverktøy for identifisering og vurdering av barnets psykiske helse', 'kunne anvende relevante modeller for observasjon og vurdering av samspill'], '', ['kunne reflektere over ulike utfordringer i møte med sårbare familier og hvordan man kan møte disse på en faglig og respektfull måte', 'ha innsikt i egen rolle som hjelper og kunne gjøre realistiske vurderinger av seg selv og sine egenskaper i egen utførelse av faget og i samarbeid med andre']];['Emnet gir kompetanse i forståelsen av hvordan ulike biopsykososiale risikofaktorer har betydning for sped- og småbarns psykiske helse. Emnet gir videre kompetanse i hvordan bruk av relevante kartleggingsverktøy kan anvendes for å identifisere sped- og småbarn i risiko.'];HI;True
PSY928;Relasjonell og dialogisk tilnærming i møte med menn med skadelig seksuell atferd;Relational and dialogical approach when facing men with harmful sexual behaviour;10;[];[];HI;False
